song,artist,labels
Don't Let The Sun Go Down On Me,George Michael and Elton John,?
November Rain,Guns N' Roses,Geffen Records
2 Legit 2 Quit,Hammer,Capitol Records
Addams Groove,Hammer,Picture Music International
How Do You Talk To An Angel,Heights,Capitol Records
She's Playing Hard To Get,Hi-Five,?
Jump Around,House Of Pain,Tommy Boy
I Wanna Love You,Jade,Giant Records
Come and Talk To Me,Jodeci,Uptown Records
Live And Learn,Joe Public,Columbia
Just Another Day,Jon Secada,EMI France
Constant Craving,k.d. lang,?
Please Don't Go,K.W.S.,?
The Way I Feel About You,Karyn White,Warner Music Japan Inc.
Everything Changes,Kathy Troccoli,Reunion Records
Keep It Comin',Keith Sweat,Columbia House
Justified And Ancient,KLF,Takt Music
Jump,Kris Kross,CBS/Sony
Warm It Up,Kris Kross,Columbia
The Best Things In Life Are Free,Luther Vandross and Janet Jackson,?
This Used To Be My Playground,Madonna,Warner Bros. Records
Can't Let Go,Mariah Carey,Columbia
I'll Be There,Mariah Carey,Columbia
Make It Happen,Mariah Carey,Columbia
Wildside,Marky Mark And The Funky Bunch,Interscope Records
Real Love,Mary J. Blige,?
When A Man Loves A Woman,Michael Bolton,CBS/Sony
Missing You Now,Michael Bolton,Columbia
In The Closet,Michael Jackson,Epic
Remember The Time,Michael Jackson,Epic
Black Or White,Michael Jackson,Epic
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,Perspective Records
Just Take My Heart,Mr. Big,?
To Be With You,Mr. Big,?
Back To The Hotel,N2Deep,?
Smells Like Teen Spirit,Nirvana,DGC
I'd Die Without You,P.M. Dawn,?
Set Adrift On Memory Bliss,P.M. Dawn,?
Sometimes Love Just Ain't Enough,Patty Smyth and Don Henley,?
Blowing Kisses In The Wind,Paula Abdul,Virgin
Under The Bridge,Red Hot Chili Peppers,Warner Bros. Records
Take This Heart,Richard Marx,Capitol Records
Hazard,Richard Marx,Capitol Records
Keep Coming Back,Richard Marx,Capitol Records
I'm Too Sexy,Right Said Fred,Virgin Greece
Stay,Shakespear's Sister,?
I Love Your Smile,Shanice,Motown
Baby Got Back,Sir Mix-a-Lot,?
Rhythm Is A Dancer,Snap,?
Damn I Wish I Was Your Lover,Sophie B. Hawkins,?
Move This,Technotronic,On The Beat
What About Your Friends,TLC,Arista
Ain't 2 Proud 2 Beg,TLC,Arista
Baby-Baby-Baby,TLC,LaFace Records
All I Want,Toad The Wet Sprocket,Columbia
Life Is A Highway,Tom Cochrane,Capitol Records
One,U2,?
Mysterious Ways,U2,?
Everything About You,Ugly Kid Joe,PolyGram Records, Inc.
Save The Best For Last,Vanessa Williams,Polydor K.K.
I Get Around,2Pac,?
What's Up,4 Non Blondes,Interscope Records
"Whoot, There It Is",95 South,Wrap Records
All That She Wants,Ace Of Base,Mega Records
Livin' On The Edge,Aerosmith,Geffen Records
Cryin',Aerosmith,Geffen Records
Mr. Wendal,Arrested Development,Chrysalis
The River Of Dreams,Billy Joel,Columbia
Good Enough,Bobby Brown,MCA Records
Bed Of Roses,Bon Jovi,PolyGram Records
That's What Love Can Do,Boy Krazy,Polydor
In The Still Of The Nite,Boyz II Men,Motown
One Last Cry,Brian McKnight,Mercury
More And More,Captain Hollywood Project,Imago
Insane In The Brain,Cypress Hill,Ruffhouse Records
Two Steps Behind,Def Leppard,Mercury
Rebirth Of Slick (Cool Like Dat),Digable Planets,Elektra
Ooh Child,Dino,EastWest Records America
Dre Day,Dr. Dre,?
"Nuthin' But A ""G"" Thang",Dr. Dre,?
Dazzey Duks,Duice,Tony Mercedes Records
Ordinary World,Duran Duran,Parlophone
Come Undone,Duran Duran,Parlophone
"Give It Up, Turn It Loose",En Vogue,EastWest Records America
I'll Never Get Over You (Getting Over Me),Expose,?
Hey Jealousy,Gin Blossoms,A&M Records
Faithful,Go West,EMI USA
Three Little Pigs,Green Jelly,?
What Is Love,Haddaway,Kontor Records
Knockin' Da Boots,H-Town,?
Check Yo Self,Ice Cube,Priority Records
It Was A Good Day,Ice Cube,Priority Records
Bad Boys,Inner Circle,WEA
Sweat (A La La La La Long),Inner Circle,Magnet
One Woman,Jade,Giant Records
Don't Walk Away,Jade,Giant Records
If,Janet Jackson,Virgin
Again,Janet Jackson,Virgin
That's The Way Love Goes,Janet Jackson,Virgin
Boom! Shake The Room,Jazzy Jeff and Fresh Prince,Jive
The Right Kind Of Love,Jeremy Jordan,Giant Records
Lately,Jodeci,Uptown Records
Nothin' My Love Can't Fix,Joey Lawrence,Impact Records
Angel,Jon Secada,SBK Records
Do You Believe In Us,Jon Secada,SBK Records
Forever In Love,Kenny G,Arista
Alright,Kris Kross,Epic
Rain,Madonna,Maverick
Deeper And Deeper,Madonna,Maverick
Dreamlover,Mariah Carey,Columbia
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,MCA Records
To Love Somebody,Michael Bolton,Columbia
Will You Be There,Michael Jackson,Epic
Hip Hop Hooray,Naughty By Nature,Mega Records
Harvest Moon,Neil Young,Reprise Records
Slam,Onyx,JMJ
Looking Through Patient Eyes,P.M. Dawn,?
Ditty,Paperboy,FFRR
A Whole New World,Peabo Bryson and Regina Belle,?
Here We Go Again!,Portrait,Capitol Records
I Got A Man,Positive K,Island Records
7,Prince and The New Power Generation,?
I'm Gonna Be (500 Miles),Proclaimers,Chrysalis
When She Cries,Restless Heart,RCA
Show Me Love,Robin S.,?
Have I Told You Lately,Rod Stewart,Warner Bros. Records
If I Ever Fall In Love,Shai,Gasoline Alley Records
Baby I'm Yours,Shai,Gasoline Alley Records
Saving Forever For You,Shanice,Giant Records
Freak Me,Silk,Elektra
Informer,Snow,EastWest Records America
Runaway Train,Soul Asylum,Sony Music
Two Princes,Spin Doctors,Epic
Fields Of Gold,Sting,A&M Records
If I Ever Lose My Faith In You,Sting,A&M Records
Weak,SWV,RCA
I'm So Into You,SWV,RCA
Right Here (Human Nature)-Downtown,SWV,RCA
Whoomp! (There It Is),Tag Team,Club Tools
Can't Get Enough Of Your Love,Taylor Dayne,Arista
Break It Down Again,Tears For Fears,Mercury
I Don't Wanna Fight,Tina Turner,Parlophone
Another Sad Love Song,Toni Braxton,Arista
Anniversary,Tony! Toni! Tone!,?
If I Had No Loot,Tony! Toni! Tone!,?
Can't Help Falling In Love,UB40,?
Cats In The Cradle,Ugly Kid Joe,Mercury
I Will Always Love You,Whitney Houston,Arista
I Have Nothing,Whitney Houston,Arista
I'm Every Woman,Whitney Houston,Arista
Rump Shaker,Wreckx-N-Effect,?
Just Kickin' It,Xscape,Columbia
Hey Mr. D.J.,Zhane,?
Because The Night,"10,000 Maniacs",?
Keep Ya Head Up,2Pac,?
Tootsee Roll,69 Boyz,Downlow Records
At Your Best (You Are Love),Aaliyah,Jive
Back and Forth,Aaliyah,Jive
I Miss You,Aaron Hall,MCA Records
Don't Turn Around,Ace Of Base,Possum
The Sign,Ace Of Base,Arista
Amazing,Aerosmith,Geffen Records
Crazy,Aerosmith,Geffen Records
Back In The Day,Ahmad,Giant Records
I Swear,All-4-One,?
So Much In Love,All-4-One,?
And Our Feelings,Babyface,Epic
Never Keeping Secrets,Babyface,Epic
When Can I See You,Babyface,Epic
Loser,Beck,Geffen Records
Baby I Love Your Way,Big Mountain,RCA
Always,Bon Jovi,Tribe Magazine
Love Sneakin' Up On You,Bonnie Raitt,Capitol Records
I'll Make Love To You,Boyz II Men,Motown
I Wanna Be Down,Brandy,Atlantic
Streets Of Philadelphia,Bruce Springsteen,Columbia
Please Forgive Me,Bryan Adams,Tak! Cassette
All For Love,"Bryan Adams, Rod Stewart and Sting",?
The Power Of Love,Celine Dion,?
Stroke You Up,Changing Faces,Big Beat
Shine,Collective Soul,Atlantic
Fantastic Voyage,Coolio,Tommy Boy
Flava In Ya Ear,Craig Mack,Bad Boy Entertainment
Linger,Cranberries,Island Records
Mmm Mmm Mmm Mmm,Crash Test Dummies,RCA
Mr. Vain,Culture Beat,Epic
Funkdafied,Da Brat,So So Def
Getto Jam,Domino,Outburst Records
Gangsta Lean,Drs,?
Can You Feel The Love Tonight,Elton John,Hollywood Records
Return To Innocence,Enigma,Virgin
Always,Erasure,Mute
Stay,Eternal,EMI Records USA
Dreams,Gabrielle,Go! Beat
I'll Take You There,General Public,Epic
Found Out About You,Gin Blossoms,Fontana
Got Me Waiting,Heavy D and The Boyz,?
Bop Gun (One Nation),Ice Cube,4th & Broadway
Never Lie,Immature,MCA Records
Here Comes The Hotstepper,Ini Kamoze,Columbia
"Any Time, Any Place",Janet Jackson,Virgin
Because Of Love,Janet Jackson,Virgin
And On And On,Janet Jackson,?
I Can See Clearly Now,Jimmy Cliff,Columbia
Cry For You,Jodeci,MCA Records
Wild Night,John Mellencamp and Me'shell Ndegeocello,?
If You Go,Jon Secada,SBK Records
Beautiful In My Eyes,Joshua Kadison,SBK Records
Stay (I Missed You),Lisa Loeb and Nine Stories,RCA
Endless Love,Luther Vandross and Mariah Carey,?
Secret,Madonna,Maverick
I'll Remember,Madonna,Maverick
Without You,Mariah Carey,Hotshots
Hero,Mariah Carey,Columbia
Never Forget You,Mariah Carey,Columbia
Anytime You Need A Friend,Mariah Carey,Columbia
He Thinks He'll Keep Her,Mary Chapin Carpenter,Collectables
Rock And Roll Dreams Come Through,Meat Loaf,Virgin
Come To My Window,Melissa Etheridge,Island Records
I'm The Only One,Melissa Etheridge,Island Records
Said I Loved You...But I Lied,Michael Bolton,Columbia
Everyday,Phil Collins,Virgin
U.N.I.T.Y.,Queen Latifah,Motown
Bump N' Grind,R. Kelly,?
Your Body's Callin',R. Kelly,?
Another Night,Real McCoy,Hansa
Now And Forever,Richard Marx,Capitol Records
Shoop,Salt-N-Pepa,Poker Sound
Whatta Man,Salt-N-Pepa,London Records
Prayer For The Dying,Seal,ZTT
All I Wanna Do,Sheryl Crow,A&M Records
Gin And Juice,Snoop Doggy Dogg,?
Who Am I (What's My Name?),Snoop Doggy Dogg,?
Anything,SWV,RCA
Always In My Heart,Tevin Campbell,Qwest Records
Can We Talk,Tevin Campbell,Qwest Records
I'm Ready,Tevin Campbell,Qwest Records
Don't Take The Girl,Tim McGraw,Curb Records
Indian Outlaw,Tim McGraw,Curb Records
Mary Jane's Last Dance,Tom Petty and The Heartbreakers,MCA Records
Breathe Again,Toni Braxton,LaFace Records
You Mean The World To Me,Toni Braxton,LaFace Records
Cantaloop,US3,?
This D.J.,Warren G,Rush Associated Labels
Regulate,Warren G and Nate Dogg,?
Understanding,Xscape,Sony Music
Groove Thang,Zhane,?
Dear Mama,2Pac,?
Old School,2Pac,?
Sukiyaki,4 P.M.,?
Freak Like Me,Adina Howard,EastWest Records America
'Til You Do Me Right,After 7,Virgin
I Can Love You Like That,All-4-One,?
"No More ""I Love You's""",Annie Lennox,Arista
Sugar Hill,Az,EMI
Good,Better Than Ezra,Elektra
Before I Let You Go,BLACKstreet,Interscope Records
I Believe,Blessid Union Of Souls,EMI United Kingdom
Run-Around,Blues Traveler,A&M Records
This Ain't A Love Song,Bon Jovi,Mercury
1st Of Tha Month,Bone Thugs-N-Harmony,?
On Bended Knee,Boyz II Men,Motown
Water Runs Dry,Boyz II Men,Motown
Thank You,Boyz II Men,Motown
Brokenhearted,Brandy,Atlantic
Best Friend,Brandy,Atlantic
Baby,Brandy,Atlantic
If You Love Me,Brownstone,MJJ Music
Have You Ever Really Loved A Woman?,Bryan Adams,A&M Records
December,Collective Soul,Atlantic
Gangsta's Paradise,Coolio,MCA Soundtracks
The Rhythm Of The Night,Corona,Krancler Music Ltd.
Give It 2 You,Da Brat,So So Def
Brown Sugar,D'angelo,?
Roll To Me,Del Amitri,A&M Records
You Gotta Be,Des'ree,?
Shy Guy,Diana King,Work
I Know,Dionne Farris,Columbia
Keep Their Heads Ringin',Dr. Dre,?
Believe,Elton John,Mercury
You Used To Love Me,Faith Evans,Bad Boy Entertainment
I Live My Life For You,Firehouse,Epic
Turn The Beat Around,Gloria Estefan,Epic
Tell Me,Groove Theory,Epic
Let Her Cry,Hootie and The Blowfish,Atlantic
Only Wanna Be With You,Hootie and The Blowfish,Atlantic
Hold My Hand,Hootie and The Blowfish,Atlantic
Constantly,Immature,MCA Records
Every Day Of The Week,Jade,Giant Records
Hold On,Jamie Walters,Atlantic
You Want This,Janet Jackson,Virgin Records America, Inc.
Runaway,Janet Jackson,A&M Records
Freek'n You,Jodeci,MCA Records
Someone To Love,Jon B.,Epic
Player's Anthem,Junior M.A.F.I.A.,?
I Got 5 On It,Luniz,Noo Trybe Records
Take A Bow,Madonna,Maverick
Fantasy,Mariah Carey,Columbia
In The House Of Stone And Light,Martin Page,Mercury
Like The Way I Do,Melissa Etheridge,Island Records
If I Wanted To,Melissa Etheridge,Island Records
I'll Be There For You-You're All I Need To Get By,Method Man-Mary J. Blige,?
You Are Not Alone,Michael Jackson,Whitfield Street Studios
Scream,Michael Jackson and Janet Jackson,?
He's Mine,Mokenstef,Outburst Records
Don't Take It Personal (Just One Of Dem Days),Monica,Rowdy Records
This Is How We Do It,Montell Jordan,Not On Label
I Miss You,N II U,Arista
Carnival,Natalie Merchant,Elektra
Feel Me Flow,Naughty By Nature,Big Life
Total Eclipse Of The Heart,Nicki French,Central Station
Warning,Notorious B.I.G.,?
One More Chance-Stay With Me,Notorious B.I.G.,?
Big Poppa,Notorious B.I.G.,?
I'll Stand By You,Pretenders,WEA
Ask Of You,Raphael Saadiq,Epic Soundtrax
Run Away,Real McCoy,Hansa
Come And Get Your Love,Real McCoy,BMG Ariola Media GMBH
Cotton Eye Joe,Rednex,ZYX Music
Kiss From A Rose,Seal,ZTT
Boombastic,Shaggy,Western Thunder Records
In The Summertime,Shaggy,Virgin
Strong Enough,Sheryl Crow,A&M Records
I Wish,Skee-lo,?
As I Lay Me Down,Sophie B. Hawkins,?
Misery,Soul Asylum,Columbia
Every Little Thing I Do,Soul For Real,Uptown Records
Candy Rain,Soul For Real,Uptown Records
Dream About You,Stevie B,Avex Trax
Funky Melody,Stevie B,Ultrapop
This Lil' Game We Play,Subway,Motown
Back For Good,Take That,RCA
Red Light Special,TLC,LaFace Records
Waterfalls,TLC,LaFace Records
Creep,TLC,LaFace Records
You Don't Know How It Feels,Tom Petty,Warner Bros. Records
Can't You See,Total,Tommy Boy
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,?
Can't Stop Lovin' You,Van Halen,Warner Bros. Records
The Sweetest Days,Vanessa Williams,Wing Records
Colors Of The Wind,Vanessa Williams,Hollywood Records
Only You,112 feat. The Notorious B.I.G.,Bad Boy Entertainment
California Love,2Pac,?
How Do U Want It,2Pac,?
Anything,3t,?
If Your Girl Only Knew,Aaliyah,Atlantic
Beautiful Life,Ace Of Base,Metronome
Ironic,Alanis Morissette,Maverick
You Learn,Alanis Morissette,Maverick
You Oughta Know,Alanis Morissette,Maverick
This Is Your Night,Amber,Tommy Boy
Last Night,Az Yet,LaFace Records
No Diggity,BLACKstreet (feat. Dr. Dre),?
Hook,Blues Traveler,A&M Records
Closer To Free,Bodeans,Slash
Tha Crossroads,Bone Thugs-N-Harmony,?
Sittin' Up In My Room,Brandy,Arista
Everything Remains Raw,Busta Rhymes,Eagle Vision
Woo-hah!! Got You All In Check,Busta Rhymes,Elektra
Because You Loved Me,Celine Dion,?
It's All Coming Back To Me Now,Celine Dion,?
The World I Know,Collective Soul,Atlantic
"The Earth, The Sun, The Rain",Color Me Badd,Giant Records
"1, 2, 3, 4 (Sumpin' New)",Coolio,Tommy Boy
Hay,Crucial Conflict,Pallas Records
Lady,D'angelo,?
Who Do U Love,Deborah Cox,Arista
Breakfast At Tiffany's,Deep Blue Something,Interscope Records
Counting Blue Cars,Dishwalla,A&M Records
Po Pimp,Do Or Die,Creator's Way Records
I Love You Always Forever,Donna Lewis,Atlantic
Change The World,Eric Clapton,Warner Music Japan
Missing,Everything But The Girl,Blanco Y Negro
Soon As I Get Home,Faith Evans,Bad Boy Entertainment
Fastlove,George Michael,Virgin
My Boo,Ghost Town Dj's,?
Follow You Down,Gin Blossoms,A&M Records
Til I Hear It From You,Gin Blossoms,A&M Records
Pony,Ginuwine,550 Music
Name,Goo Goo Dolls,Warner Bros. Records
Time,Hootie and The Blowfish,Atlantic
Old Man and Me (When I Get To Heaven),Hootie and The Blowfish,Atlantic
Insensitive,Jann Arden,A&M Records
Who Will Save Your Soul,Jewel,Atlantic
One Of Us,Joan Osborne,Mercury
All The Things (Your Man Won't Do),Joe,Island Records
Key West Intermezzo (I Saw You First),John Mellencamp,Mercury
Get Money,Junior M.A.F.I.A.,?
Nobody,Keith Sweat,Elektra
Twisted,Keith Sweat,Elektra
Tonite's Tha Night,Kris Kross,Ruffhouse Records
Be My Lover,La Bouche,RCA
Sweet Dreams,La Bouche,RCA
Loungin,LL Cool J,Def Jam Recordings
Hey Lover,LL Cool J,Def Jam Recordings
Doin It,LL Cool J,Def Jam Recordings
Macarena (Bayside Boys Mix),Los Del Rio,RCA
Macarena,Los Del Rio,Zafiro
You'll See,Madonna,Maverick
Always Be My Baby,Mariah Carey,Not On Label
One Sweet Day,Mariah Carey and Boyz II Men,?
Not Gon' Cry,Mary J. Blige,?
That Girl,Maxi Priest feat. Shaggy,Virgin Records America, Inc.
"Keep On, Keepin' On",Mc Lyte,EastWest Records America
I Want To Come Over,Melissa Etheridge,Island Records
Mouth,Merril Bainbridge,Arista
Until It Sleeps,Metallica,Vertigo
Before You Walk Out Of My Life,Monica,Arista
Why I Love You So Much,Monica,Rowdy Records
Ain't Nobody,Monica,Rowdy Records
Like This And Like That,Monica,Arista
Jealousy,Natalie Merchant,Elektra
Wonder,Natalie Merchant,Elektra
Hit Me Off,New Edition,MCA Records
Just A Girl,No Doubt,Interscope Records
Where Do You Go,No Mercy,MCI
Wonderwall,Oasis,Helter Skelter
Elevators (Me and You),Outkast,LaFace Records
Long Road,Pearl Jam,Not On Label
I Got Id,Pearl Jam,?
Set U Free,Planet Soul,Delirious
C'mon N' Ride It (The Train),Quad City DJ's,DETT
Down Low (Nobody Has To Know),R. Kelly,?
I Can't Sleep Baby (If I),R. Kelly,?
You Remind Me Of Something,R. Kelly,?
Children,Robert Miles,DBX Records
Don't Cry,Seal,ZTT
If It Makes You Happy,Sheryl Crow,A&M Records
1979,Smashing Pumpkins,Hut Recordings
You're The One,SWV,RCA
Diggin' On You,TLC,LaFace Records
Un-Break My Heart,Toni Braxton,Simply Vinyl (S12)
Let It Flow,Toni Braxton,LaFace Records
You're Makin' Me High,Toni Braxton,LaFace Records
Nobody Knows,Tony Rich Project,LaFace Records
No One Else,Total,Bad Boy Entertainment
Kissin' You,Total,Arista
Give Me One Reason,Tracy Chapman,Elektra
Exhale (Shoop Shoop),Whitney Houston,Arista
Count On Me,Whitney Houston and Cece Winans,?
Cupid,112,Bad Boy Entertainment
Get It Together,702,Motown
Invisible Man,98 Degrees,Motown
The One I Gave My Heart To,Aaliyah,Blackground Enterprises
Barbie Girl,Aqua,Universal Records
Hard To Say I'm Sorry,Az Yet feat. Peter Cetera,LaFace Records
Every Time I Close My Eyes,Babyface,Epic
Quit Playing Games (With My Heart),Backstreet Boys,Jive
I Finally Found Someone,Barbra Streisand and Bryan Adams,?
I Like It,Blackout Allstars,Versailles
No Diggity,BLACKstreet feat. Dr. Dre,Not On Label (Blackstreet)
Look Into My Eyes,Bone Thugs-N-Harmony,?
4 Seasons Of Loneliness,Boyz II Men,Motown
My Baby Daddy,B-Rock and The Bizz,?
Secret Garden,Bruce Springsteen,Columbia
All By Myself,Celine Dion,?
G.H.E.T.T.O.U.T.,Changing Faces,Atlantic
Tubthumping,Chumbawamba,Mutt Records
C U When U Get There,Coolio,Tommy Boy
When You're Gone,Cranberries,Island Records
Free To Decide,Cranberries,Island Records
Let Me Clear My Throat,DJ Kool,American Recordings
In My Bed,Dru Hill,Island Black Music
Never Make A Promise,Dru Hill,Island Black Music
Barely Breathing,Duncan Sheik,Atlantic
Something About The Way You Look Tonight,Elton John,The Rocket Record Company
Candle In The Wind 1997,Elton John,Mercury
Don't Let Go (Love),En Vogue,EastWest Records America
On and On,Erykah Badu,Not On Label (Erykah Badu)
Da' Dip,Freaknasty,?
Ooh Aah... Just A Little Bit,Gina G,Eternal
MMMBop,Hanson,Mercury
Big Daddy,Heavy D,Universal Records
Foolish Games,Jewel,Atlantic
You Were Meant For Me,Jewel,Atlantic
Don't Wanna Be A Player,Joe,Jive
When You Love A Woman,Journey,Columbia
How Do I Live,LeAnn Rimes,Curb Records
Not Tonight,Lil' Kim,Big Beat
No Time,Lil' Kim,Big Beat
Naked Eye,Luscious Jackson,Capitol Records
Don't Cry For Me Argentina,Madonna,Warner Bros. Records
You Must Love Me,Madonna,Warner Bros. Records
Up Jumps Da Boogie,Magoo And Timbaland,Atlantic
Honey,Mariah Carey,Columbia
Return Of The Mack,Mark Morrison,WEA
Cold Rock A Party,Mc Lyte,Elektra
Bitch,Meredith Brooks,Capitol Records
Go The Distance,Michael Bolton,Sony Records
For You I Will,Monica,Atlantic
What's On Tonight,Montell Jordan,Def Soul
Coco Jamboo,Mr. President,?
I'm Still In Love With You,New Edition,MCA Records
Butta Love,Next,Arista
Hypnotize,Notorious B.I.G.,?
Mo Money Mo Problems,Notorious B.I.G.,?
Where Have All The Cowboys Gone?,Paula Cole,Warner Bros. Records
Can't Nobody Hold Me Down,Puff Daddy,Arista
